geneid	CHROM	START	STOP	foldchange
VCAM1	chr1	101184802	101185787	8.07646302170179
SLC30A7	chr1	101360115	101362696	1.29548993079783
S1PR1	chr1	101701103	101702822	1.49837183196653
CSF1	chr1	110452637	110453985	3.09672263054832
SHE	chr1	154473930	154474758	-1.19200028127542
EFNA1	chr1	155099328	155101421	2.5440471055729
ADAMTS4	chr1	161168433	161169511	1.12909588761322
MPZL1	chr1	167777313	167777812	1.31745973999238
IER5	chr1	181057324	181058134	1.0991804264862
IER5	chr1	181058537	181059804	1.0991804264862
PTGS2	chr1	186639547	186640681	4.2461083999253
PTGS2	chr1	186649135	186650427	4.2461083999253
IKBKE	chr1	206643967	206644858	1.84555611929026
ATF3	chr1	212780682	212781334	2.8158818608417
ATF3	chr1	212781341	212782839	2.8158818608417
HLX	chr1	221052335	221053117	1.48337954190306
NFIA	chr1	61542393	61543234	-1.28665727162144
NFIA	chr1	61543286	61544138	-1.28665727162144
PDE4B	chr1	66797276	66798373	1.14561901557392
PDE4B	chr1	66818635	66819497	1.14561901557392
DNAJB4	chr1	78469629	78470819	-1.43160252541444
HES4	chr1	935195	936624	1.22298219208802
NFKB2	chr10	104153300	104156327	3.08979313277102
CASP7	chr10	115438867	115439230	1.12156612384914
CASP7	chr10	115439364	115440134	1.12156612384914
OPTN	chr10	13141669	13142534	1.31781681453257
KIAA1217	chr10	24496358	24497180	1.894984574448
KIAA1217	chr10	24497700	24499680	1.894984574448
BAMBI	chr10	28965894	28966486	-1.28978128016175
IL15RA	chr10	6050915	6051752	3.04061406438619
ARID5B	chr10	63808662	63809451	1.12729123690365
